"Adam Erace",,"Author","http://www.foodandwine.com/chefs/adam-erace"
"Adam Perry Lang",,"Author","http://www.foodandwine.com/chefs/adam-perry-lang"
"Aki Kamozawa",,"Author","http://www.foodandwine.com/chefs/aki-kamozawa"
"Alain Ducasse",,"Author","http://www.foodandwine.com/chefs/alain-ducasse"
"Alex Hozven",,"Author","http://www.foodandwine.com/chefs/alex-hozven"
"Alice Waters",,"Author","http://www.foodandwine.com/chefs/alice-waters"
"Alison Attenborough",,"Author","http://www.foodandwine.com/chefs/alison-attenborough"
"Amber Huffman",,"Author","http://www.foodandwine.com/chefs/amber-huffman"
"Andrew Carmellini",,"Author","http://www.foodandwine.com/chefs/andrew-carmellini"
"Andrew Zimmern",,"Author","http://www.foodandwine.com/chefs/andrew-zimmern"
"Angie Mosier",,"Author","http://www.foodandwine.com/chefs/angie-mosier"
"Anna Imparato",,"Author","http://www.foodandwine.com/chefs/anna-imparato"
"Anne Vanderzee",,"Author","http://www.foodandwine.com/chefs/anne-vanderzee"
"Annie Somerville",,"Author","http://www.foodandwine.com/chefs/annie-somerville"
"April Bloomfield",,"Author","http://www.foodandwine.com/chefs/april-bloomfield"
"Art Smith",,"Author","http://www.foodandwine.com/chefs/art-smith"
"Béatrice Peltre",,"Author","http://www.foodandwine.com/chefs/beatrice-peltre"
"Bill Kim",,"Author","http://www.foodandwine.com/chefs/bill-kim"
"Bill Telepan",,"Author","http://www.foodandwine.com/chefs/bill-telepan"
"Bobby Flay",,"Author","http://www.foodandwine.com/chefs/bobby-flay"
"Brent Ridge",,"Author","http://www.foodandwine.com/chefs/brent-ridge"
"Bryan Vietmeier",,"Author","http://www.foodandwine.com/chefs/bryan-vietmeier"
"Cat Cora",,"Author","http://www.foodandwine.com/chefs/cat-cora"
"Cecilia Chiang",,"Author","http://www.foodandwine.com/chefs/cecilia-chiang"
"Charles Phan",,"Author","http://www.foodandwine.com/chefs/charles-phan"
"Charlie Griggs",,"Author","http://www.foodandwine.com/chefs/charlie-griggs"
"Charlie Parker",,"Author","http://www.foodandwine.com/chefs/charlie-parker"
"Chris Hanmer",,"Author","http://www.foodandwine.com/chefs/chris-hanmer"
"Chris Yeo",,"Author","http://www.foodandwine.com/chefs/chris-yeo"
"Colby Garrelts",,"Author","http://www.foodandwine.com/chefs/colby-garrelts"
"Dan Barber",,"Author","http://www.foodandwine.com/chefs/dan-barber"
"Daniel Boulud",,"Author","http://www.foodandwine.com/chefs/daniel-boulud"
"Daniel Klein",,"Author","http://www.foodandwine.com/chefs/daniel-klein"
"Daniel Patterson",,"Author","http://www.foodandwine.com/chefs/daniel-patterson"
"Danny Cohen",,"Author","http://www.foodandwine.com/chefs/danny--cohen"
"David Chang",,"Author","http://www.foodandwine.com/chefs/david-chang"
"David Duband",,"Author","http://www.foodandwine.com/chefs/david-duband"
"David Kinch",,"Author","http://www.foodandwine.com/chefs/david-kinch"
"Defne Koryﾟrek",,"Author","http://www.foodandwine.com/chefs/invoke.cfm?chefid=B28329DF-581B-4451-94A72B75F2744A6F"
"Didier Murat",,"Author","http://www.foodandwine.com/chefs/didier-murat"
"Dmitry Leonov",,"Author","http://www.foodandwine.com/chefs/dmitry-leonov"
